system,case_id,project,bug_id,status,pass_at_1,pass_at_3,visible_pass,regression_pass,compile_success,tool_calls,test_runs,patch_size,unsafe_edit,wall_time_seconds,deepseek_calls,prompt_tokens,completion_tokens,estimated_cost_usd,infrastructure_failure,agent_failure
self_evolved,Chart-1,Chart,1,solved,True,True,True,True,True,2,3,2,False,42.3137,1,42422,1206,0.0,False,False
self_evolved,Chart-2,Chart,2,solved,False,True,True,True,True,5,7,32,False,297.4693,3,123705,21931,0.0,False,False
self_evolved,Chart-3,Chart,3,solved,True,True,True,True,True,2,3,2,False,57.1828,1,52466,2776,0.0,False,False
self_evolved,Chart-4,Chart,4,solved,True,True,True,True,True,2,45,4,False,80.5252,1,56347,2467,0.0,False,False
self_evolved,Chart-5,Chart,5,solved,False,True,True,True,True,4,3,35,False,151.3213,2,90024,8707,0.0,False,False
self_evolved,Chart-6,Chart,6,solved,True,True,True,True,True,2,5,12,False,48.8992,1,24568,2372,0.0,False,False
self_evolved,Chart-7,Chart,7,solved,True,True,True,True,True,2,3,4,False,49.2138,1,37045,2568,0.0,False,False
self_evolved,Chart-8,Chart,8,solved,True,True,True,True,True,2,3,2,False,38.6539,1,44296,1287,0.0,False,False
self_evolved,Chart-9,Chart,9,solved,True,True,True,True,True,2,3,3,False,55.5832,1,54803,3050,0.0,False,False
self_evolved,Chart-10,Chart,10,solved,True,True,True,True,True,2,3,2,False,34.0927,1,11095,1333,0.0,False,False
self_evolved,Lang-1,Lang,1,solved,True,True,True,True,True,2,3,17,False,53.8254,1,46318,3251,0.0,False,False
self_evolved,Lang-3,Lang,3,failed,False,False,False,False,True,12,3,24,False,1053.1936,14,165098,99828,0.0,False,True
self_evolved,Lang-4,Lang,4,solved,True,True,True,True,True,2,3,2,False,23.8393,1,9259,1055,0.0,False,False
self_evolved,Lang-5,Lang,5,solved,True,True,True,True,True,2,3,26,False,65.4855,1,14340,5892,0.0,False,False
self_evolved,Lang-6,Lang,6,solved,False,True,True,True,True,4,4,4,False,303.5123,3,41661,24178,0.0,False,False
self_evolved,Lang-7,Lang,7,solved,True,True,True,True,True,2,3,2,False,33.2069,1,16219,2037,0.0,False,False
self_evolved,Lang-8,Lang,8,solved,False,True,True,True,True,4,5,7,False,236.5228,4,57886,21988,0.0,False,False
self_evolved,Lang-9,Lang,9,solved,False,False,True,True,True,7,7,42,False,515.1035,6,86827,41820,0.0,False,False
self_evolved,Lang-10,Lang,10,failed,False,False,False,False,True,24,14,69,False,2159.8958,28,255991,207805,0.0,False,True
self_evolved,Lang-11,Lang,11,solved,True,True,True,True,True,2,3,3,False,33.9283,1,14101,2257,0.0,False,False
self_evolved,Math-1,Math,1,failed,False,False,False,False,True,17,2,0,False,580.8812,8,95681,49148,0.0,False,True
self_evolved,Math-2,Math,2,failed,False,False,False,False,True,12,1,0,False,139.2847,0,0,0,0.0,False,True
self_evolved,Math-3,Math,3,failed,False,False,False,False,True,12,1,0,False,139.8286,0,0,0,0.0,False,True
self_evolved,Math-4,Math,4,failed,False,False,False,False,True,12,2,0,False,140.4177,0,0,0,0.0,False,True
self_evolved,Math-5,Math,5,solved,True,True,True,True,True,2,3,2,False,124.0151,2,29170,10937,0.0,False,False
self_evolved,Math-6,Math,6,failed,False,False,False,False,True,20,196,19,False,1669.0521,19,226791,123978,0.0,False,True
self_evolved,Math-7,Math,7,failed,False,False,True,False,True,18,7,9,False,949.6065,16,137186,95907,0.0,False,True
self_evolved,Math-8,Math,8,solved,True,True,True,True,True,2,3,20,False,61.0421,1,12806,4582,0.0,False,False
self_evolved,Math-9,Math,9,solved,True,True,True,True,True,2,3,3,False,59.1741,1,14556,4475,0.0,False,False
self_evolved,Math-10,Math,10,solved,True,True,True,True,True,2,3,9,False,74.6732,1,15876,6444,0.0,False,False
